titolo_opera_iteatrire,opera_id,wikidata_uri_iteatrire,persona_nome,persona_id
Brundibár,72761,https://www.wikidata.org/wiki/Q565663,"Hoffmeister, Adolf",27400
"New York, New York",72779,https://www.wikidata.org/wiki/Q116609206,"Kander, John",11985
"New York, New York",72779,https://www.wikidata.org/wiki/Q116609206,"Ebb, Fred",11986
Spring Awakening,72783,https://www.wikidata.org/wiki/Q579927,"Sheik, Duncan",27678
Spring Awakening,72783,https://www.wikidata.org/wiki/Q579927,"Sater, Steven",27677
Spring Awakening,72783,https://www.wikidata.org/wiki/Q579927,"Wedekind, Frank",11265
Bergakungen,72792,https://www.wikidata.org/wiki/Q31892642,"Alfvén, Hugo",27748
whitespace,72795,https://www.wikidata.org/wiki/Q591615,"Cage, John",9977
grave,72802,https://www.wikidata.org/wiki/Q173387,Jacob TV,27787
canonical normal form,72808,https://www.wikidata.org/wiki/Q2719417,"Schönberg, Arnold",10248
Apollo,72827,https://www.wikidata.org/wiki/Q619275,"Stravinskij, Igor'",9640
vacuum tube,72834,https://www.wikidata.org/wiki/Q3574371,"Ramadori, Leonardo",26883
spoon,72835,https://www.wikidata.org/wiki/Q81895,"Saveri, Gianluca",26884
psycological reaction,72837,https://www.wikidata.org/wiki/Q108000045,"Hermann, Bernard",28047
The Flying Dutchman,72845,https://www.wikidata.org/wiki/Q114640,"Falasconi, Federica",17676
The Flying Dutchman,72845,https://www.wikidata.org/wiki/Q114640,"Premoli, Alessandra",28079
The Flying Dutchman,72845,https://www.wikidata.org/wiki/Q114640,"Wagner, Richard",9642
saying,72859,https://www.wikidata.org/wiki/Q3026787,"Schubert, Franz",9872
Elektra,72867,https://www.wikidata.org/wiki/Q731927,"Strauss, Richard",9639
Rapunzel,72872,https://www.wikidata.org/wiki/Q47905836,"Magnabosco, Davide",28306
Rapunzel,72872,https://www.wikidata.org/wiki/Q47905836,"Procacci, Alex",28307
Rapunzel,72872,https://www.wikidata.org/wiki/Q47905836,"Barillari, Paolo",28308
Rapunzel,72872,https://www.wikidata.org/wiki/Q47905836,"Grimm, Jacob",19588
Rapunzel,72872,https://www.wikidata.org/wiki/Q47905836,"Grimm, Wilhelm",19589
Giordano Bruno,72885,https://www.wikidata.org/wiki/Q17047321,"Filidei, Francesco",23081
Giordano Bruno,72885,https://www.wikidata.org/wiki/Q17047321,"Busellato, Stefano",28444
Prólogo :Porque trobar,72924,https://www.wikidata.org/wiki/Q20750475,"Alfonso X ""el Sabio""",17808
clapstick,72934,https://www.wikidata.org/wiki/Q1095097,"Reich, Steve",10957
Surface Laptop Studio 2,72961,https://www.wikidata.org/wiki/Q131703463,"Nancarrow, Conlon",28981
Mamma Mia!,72982,https://www.wikidata.org/wiki/Q686861,"Andersson, Benny",29171
Mamma Mia!,72982,https://www.wikidata.org/wiki/Q686861,"Anderson, Stig ""Stikkan"" Erik Leopold",29172
